<L3Circuits>,,,,,,,,,,
Name,NodeA,InterfaceA,NodeB,InterfaceB,Capacity,L1CircuitNodeA,L1CircuitPortA,L1CircuitNodeB,L1CircuitPortB,Tags
I1002/GE40/FRHDNJFH/FRHDNJFH,FRHDNJFH-0111106A,FortyGigE0/0/7/0,FRHDNJFH-0111114A,FortyGigE0/12/0/4.4001,40000,,,,,L1 circuit field is correct as provided
I1002/GE100/NYACNYNK/WHVRNYWH,NYACNYNK-0220608A,HundredGigE0/0/0/10/2.4001,WHVRNYWH-0001104A,HundredGigE0/9/0/11/2.4001,100000,NYACNYNK-0220602A,I1002/OTUC2/NYACNYNK/WHVRNYWH,WHVRNYWH-0001101A,I1002/OTUC2/NYACNYNK/WHVRNYWH,L1 circuit field is correct as provided
I1001/GE100/NYCKNYAL/NYCKNYFT,NYCKNYAL-0223502A,HundredGigE0/13/0/11/2.4001,NYCKNYFT-0223604A,HundredGigE0/4/0/11/2.4001,100000,NYCKNYAL-0223402A,I1001/OTUC2/NYCKNYAL/NYCKNYFT,NYCKNYFT-0223601A,I1001/OTUC2/NYCKNYAL/NYCKNYFT,L1 circuit field is correct as provided
I1001/GE40/MGTNNJMI/MGTNNJMI,MGTNNJMI-0110720A,FortyGigE0/0/8/0,MGTNNJMI-0111217A,FortyGigE0/11/0/4.4001,40000,,,,,L1 circuit field is correct as provided
I1001/GE40/NYCRNYWS/NYCRNYWS,NYCRNYWS-0112703A,FortyGigE0/0/0/4.4001,NYCRNYWS-0112713A,FortyGigE0/0/8/0,40000,,,,,L1 circuit field is correct as provided
I1001/GE100/LVTWNYLT/WDMRNYFR,LVTWNYLT-0111908A,HundredGigE0/11/0/10/2.4001,WDMRNYFR-0222642A,HundredGigE0/3/0/11/2.4001,100000,LVTWNYLT-0111902A,I1001/OTUC2/LVTWNYLT/WDMRNYFR,WDMRNYFR-0222636A,I1001/OTUC2/LVTWNYLT/WDMRNYFR,L1 circuit field is correct as provided
I1001/GE100/DESMIAFT/WDMNIANI,DESMIAFT-0221703A,HundredGigE0/8/0/11/2.4001,WDMNIANI-0110101B,HundredGigE0/1/0/10/2.4001,100000,DESMIAFT-0221702A,I1001/OTUC2/DESMIAFT/WDMNIANI,WDMNIANI-0110101C,I1001/OTUC2/DESMIAFT/WDMNIANI,L1 circuit field is correct as provided
I1001/GE100/NWRKNJ02/WSFDNJWS,NWRKNJ02-0662317A,HundredGigE0/12/0/11/2.4001,WSFDNJWS-0223203A,HundredGigE0/12/0/11/2.4001,100000,NWRKNJ02-0662323A,I1001/OTUC2/NWRKNJ02/WSFDNJWS,WSFDNJWS-0223209A,I1001/OTUC2/NWRKNJ02/WSFDNJWS,L1 circuit field is correct as provided
I1001/GE100/AMBLPAAM/WNRTPAAHW01,AMBLPAAM-0222509A,HundredGigE0/2/0/10/2.4001,WNRTPAAHW010130217A,HundredGigE0/8/0/11/2.4001,100000,AMBLPAAM-0222507A,I1001/OTUC2/AMBLPAAM/WNRTPAAHW01,WNRTPAAHW010130217B,I1001/OTUC2/AMBLPAAM/WNRTPAAHW01,L1 circuit field is correct as provided
I1001/GE40/NYCKNYFA/NYCKNYFA,NYCKNYFA-0442605A,FortyGigE0/0/8/0,NYCKNYFA-0442607A,FortyGigE0/0/0/4.4001,40000,,,,,L1 circuit field is correct as provided
I1005/GE100/WAYNNJAWW01/WAYNNJAWW01,WAYNNJAWW010120110,HundredGigE0/0/1/1.4001,WAYNNJAWW010120111A,HundredGigE0/9/0/0.4001,100000,,,,,L1 circuit field is correct as provided
I1002/GE40/WDPTNJWP/WDPTNJWP,WDPTNJWP-0110312A,FortyGigE0/0/7/0,WDPTNJWP-0110409A,FortyGigE0/12/0/4.4001,40000,,,,,L1 circuit field is correct as provided
I1001/GE100/FRFDNJFA/LVTNNJLI,FRFDNJFA-0113315A,HundredGigE0/3/0/11/2.4001,LVTNNJLI-0221002A,HundredGigE0/1/0/10/2.4001,100000,FRFDNJFA-0113316A,I1001/OTUC2/FRFDNJFA/LVTNNJLI,LVTNNJLI-0221008A,I1001/OTUC2/FRFDNJFA/LVTNNJLI,L1 circuit field is correct as provided
I1001/GE100/KZTNPAKZ/RDNGPARE,KZTNPAKZ-0111005A,HundredGigE0/0/0/11/2.4001,RDNGPARE-0332836A,HundredGigE0/2/0/10/2.4001,100000,KZTNPAKZ-0111002A,I1001/OTUC2/KZTNPAKZ/RDNGPARE,RDNGPARE-0332839A,I1001/OTUC2/KZTNPAKZ/RDNGPARE,L1 circuit field is correct as provided
I1002/GE40/WBYNNYWE/WBYNNYWE,WBYNNYWE-0111115A,FortyGigE0/4/0/4.4001,WBYNNYWE-0111119A,FortyGigE0/0/7/0,40000,,,,,L1 circuit field is correct as provided
I1002/GE40/HCKNNJHK/HCKNNJHK,HCKNNJHK-0440411A,FortyGigE0/12/0/4.4001,HCKNNJHK-0441306A,FortyGigE0/0/7/0,40000,,,,,L1 circuit field is correct as provided
I1001/GE40/DBFYNYDF/DBFYNYDF,DBFYNYDF-0112213A,FortyGigE0/1/0/4.4001,DBFYNYDF-0112419A,FortyGigE0/0/8/0,40000,,,,,L1 circuit field is correct as provided
I1001/GE40/NBRGNJNB/NBRGNJNB,NBRGNJNB-0113102A,FortyGigE0/0/8/0,NBRGNJNB-0113129A,FortyGigE0/11/0/4.4001,40000,,,,,L1 circuit field is correct as provided
I1002/GE40/SORGNJSO/SORGNJSO,SORGNJSO-0112302A,FortyGigE0/0/7/0,SORGNJSO-0112602A,FortyGigE0/12/0/4.4001,40000,,,,,L1 circuit field is correct as provided
I1002/GE40/NYCQNYRH/NYCQNYRH,NYCQNYRH-0225206A,FortyGigE0/4/0/4.4001,NYCQNYRH-0225211A,FortyGigE0/0/7/0,40000,,,,,L1 circuit field is correct as provided
I1002/GE100/MTVWNJMV/WAYNNJAWW01,MTVWNJMV-0111236A,HundredGigE0/3/0/11/2.4001,WAYNNJAWW010120111A,HundredGigE0/9/0/11/2.4001,100000,MTVWNJMV-0111337A,I1002/OTUC2/MTVWNJMV/WAYNNJAWW01,WAYNNJAWW010120111B,I1002/OTUC2/MTVWNJMV/WAYNNJAWW01,L1 circuit field is correct as provided
