CKT_TRAIL_ID,TRAIL_NAME,A_EQUIPMENT_TID,A_EQUIPMENT_MODEL,Z_EQUIPMENT_TID,Z_EQUIPMENT_MODEL
98147,I1001/GE100/FLPKNYFP/HCVLNYHV,FLPKNYFP-0330608A,CISCO_NCS4016_SHELF,HCVLNYHV-0115208A,CISCO_NCS4016_SHELF
98149,I1001/GE100/FLPKNYFP/SYOSNYSY,FLPKNYFP-0330608A,CISCO_NCS4016_SHELF,SYOSNYSY-0112317A,CISCO_NCS4016_SHELF
102093,I1001/GE100/FLWDPAFL/RDNGPARE,FLWDPAFL-0110808A,CISCO_NCS4016_SHELF,RDNGPARE-0332836A,CISCO_NCS4016_SHELF
102515,I1001/GE100/FNPKNJFP/NBWKNJNB,FNPKNJFP-0110116A,CISCO_NCS4016_SHELF,NBWKNJNB-0550215A,CISCO_NCS4016_SHELF
97255,I1001/GE100/FRDLNJ01/FRHDNJFH,FRDLNJ01-0112306A,CISCO_NCS4016_SHELF,FRHDNJFH-0111114A,CISCO_NCS4016_SHELF
97770,I1001/GE100/FRDLNJ01/LGBRNJLB,FRDLNJ01-0112306A,CISCO_NCS4016_SHELF,LGBRNJLB-0111502A,CISCO_NCS4016_SHELF
132803,I1001/GE100/FRDLNYFM/GRNKNYGN,FRDLNYFM-0222408A,CISCO_NCS4016_SHELF,GRNKNYGN-0223934A,CISCO_NCS4016_SHELF
98184,I1001/GE100/FRDLNYFM/HCVLNYHV,FRDLNYFM-0222408A,CISCO_NCS4016_SHELF,HCVLNYHV-0115208A,CISCO_NCS4016_SHELF
100526,I1001/GE100/FRDLNYFM/LHSTNYLH,FRDLNYFM-0222408A,CISCO_NCS4016_SHELF,LHSTNYLH-0220610A,CISCO_NCS4016_SHELF
132847,I1001/GE100/FRDLNYFM/LYBRNYLB,FRDLNYFM-0222408A,CISCO_NCS4016_SHELF,LYBRNYLB-01153A08A,CISCO_NCS4016_SHELF
98183,I1001/GE100/FRDLNYFM/SYOSNYSY,FRDLNYFM-0222408A,CISCO_NCS4016_SHELF,SYOSNYSY-0112317A,CISCO_NCS4016_SHELF
133274,I1001/GE100/FRDRDEFR/NWCSDENC,FRDRDEFR-0110055A,CISCO_NCS4016_SHELF,NWCSDENC-0117913A,CISCO_NCS4016_SHELF
133275,I1001/GE100/FRDRDEFR/NWRKDENB,FRDRDEFR-0110055A,CISCO_NCS4016_SHELF,NWRKDENB-0114705A,CISCO_NCS4016_SHELF
113015,I1001/GE100/FRDSNJFR/PAMBNJPM,FRDSNJFR-0110525A,CISCO_NCS4016_SHELF,PAMBNJPM-0330754A,CISCO_NCS4016_SHELF
