TRAIL_ID,TRAIL_NAME,BANDWIDTH,VERSION,STATUS,TYPE,A_SITE_NAME,Z_SITE_NAME,REQUESTED_BANDWIDTH,TOTAL_CHANNELS,TOTAL_CHANNELS_USED,MILEAGE,A_EQUIPMENT_TID,A_EQUIPMENT_TYPE,A_EQUIPMENT_VENDOR,A_PORT_NAME,A_PORT_AID,Z_EQUIPMENT_TID,Z_EQUIPMENT_TYPE,Z_EQUIPMENT_VENDOR,Z_PORT_NAME,Z_PORT_AID,A_EQUIPMENT_MODEL,Z_EQUIPMENT_MODEL,A_NETWORK_DOMAIN,Z_NETWORK_DOMAIN,A_EQUIPMENT_PHYSICAL_TID,Z_EQUIPMENT_PHYSICAL_TID
7563,I1001/OM96/EKRGMDEL/ODTNMDON,DWDM96,1,IN EFFECT,DWDM_INFRASTRUCTURE,EKRGMDEL,ODTNMDON,DWDM96,96,13,8,EKRGMDEL-0112215A,Ciena 6500 T-12P SHELF,CIENA,5 Line Out,LINE-1-8-5,ODTNMDON-0220401A,Ciena 6500 T-12P SHELF,CIENA,8 Line In,LINE-1-8-8,Ciena 6500 T-12P SHELF,Ciena 6500 T-12P SHELF,Ciena_FSA3_4_5,Ciena_FSA3_4_5,EKRGMDEL-0112215A,ODTNMDON-0220401A
5185,I1513/OM96/BRTNMACO/SGTNMAWA,DWDM96,1,IN EFFECT,DWDM_INFRASTRUCTURE,BRTNMACO,SGTNMAWA,DWDM96,96,3,5,BRTNMACO-0446918A,CIENA_T6500,CIENA,5 Line Out,LINE-1-8-5,SGTNMAWA-0114803A,CIENA_T6500,CIENA,8 Line In,LINE-1-6-8,Ciena 6500 T-12 SHELF,CI_6500_TSHELF,Ciena_FSA2_8,Ciena_FSA2_8,BRTNMACO-0446918A,SGTNMAWA-0114803A
28507,I1001/OM96/BLTMMDTU/EKRGMDEL,DWDM96,1,IN EFFECT,DWDM_INFRASTRUCTURE,BLTMMDTU,EKRGMDEL,DWDM96,96,8,3,BLTMMDTU-0222731A,Ciena 6500 T-12P SHELF,CIENA,5 Line Out,LINE-1-7-5,EKRGMDEL-0112215A,Ciena 6500 T-12P SHELF,CIENA,8 Line In,LINE-2-7-8,Ciena 6500 T-12P SHELF,Ciena 6500 T-12P SHELF,Ciena_FSA3_4_5,Ciena_FSA3_4_5,BLTMMDTU-0222731A,EKRGMDEL-0112215B
28897,I1001/OM96/ASBNVA13/LSBGVALB,DWDM96,1,IN EFFECT,DWDM_INFRASTRUCTURE,ASBNVA13,LSBGVALB,DWDM96,96,3,7,ASBNVA13-0112609A,Ciena 6500 T-12P SHELF,CIENA,5 Line Out,LINE-1-7-5,LSBGVALB-0100900A,Ciena 6500 T-12P SHELF,CIENA,8 Line In,LINE-1-8-8,Ciena 6500 T-12P SHELF,Ciena 6500 T-12P SHELF,Ciena_FSA3_4_5,Ciena_FSA3_4_5,ASBNVA13-0112609A,LSBGVALB-0100900A
28898,I1001/OM96/CLEVOHIW/CLEYOHNV,DWDM96,1,IN EFFECT,DWDM_INFRASTRUCTURE,CLEVOHIW,CLEYOHNV,DWDM96,96,15,0.37,CLEVOHIW-0441130A,Ciena 6500 T-12P SHELF,CIENA,5 Line Out,LINE-1-7-5,CLEYOHNV-0770504A,Ciena 6500 T-12P SHELF,CIENA,8 Line In,LINE-1-6-8,Ciena 6500 T-12P SHELF,Ciena 6500 T-12P SHELF,Ciena_NOCENT,Ciena_NOCENT,CLEVOHIW-0441130A,CLEYOHNV-0770504A
28024,I1001/OM96/STCYVASC/WNCHVAWC,DWDM96,1,IN EFFECT,DWDM_INFRASTRUCTURE,STCYVASC,WNCHVAWC,DWDM96,96,14,8,STCYVASC-0111400A,Ciena 6500 T-12P SHELF,CIENA,5 Line Out,LINE-1-6-5,WNCHVAWC-0112012A,Ciena 6500 T-12P SHELF,CIENA,8 Line In,LINE-1-7-8,Ciena 6500 T-12P SHELF,Ciena 6500 T-12P SHELF,Ciena_FSA3_4_5,Ciena_FSA3_4_5,STCYVASC-0111400A,WNCHVAWC-0112012A
34284,I1001/OM96/SNDSMAOT/WSFDMAWA,DWDM96,1,IN EFFECT,DWDM_INFRASTRUCTURE,SNDSMAOT,WSFDMAWA,DWDM96,96,2,16.7,SNDSMAOT-0110311A,Ciena 6500 T-12P SHELF,CIENA,5 Line Out,LINE-1-7-5,WSFDMAWA-0110802A,Ciena 6500 T-12P SHELF,CIENA,8 Line In,LINE-1-5-8,Ciena 6500 T-12P SHELF,Ciena 6500 T-12P SHELF,Ciena_FSA2_8,Ciena_FSA2_8,SNDSMAOT-0110311A,WSFDMAWA-0110802A
33090,I1002/OM96/BFLONYFR/LNCSNYLC,DWDM96,1,IN EFFECT,DWDM_INFRASTRUCTURE,BFLONYFR,LNCSNYLC,DWDM96,96,0,11,BFLONYFR-01TESTA,CIENA_T6500,CIENA,8 Line In,LINE-1-7-8,LNCSNYLC-01TEST11A,CIENA_T6500,CIENA,5 Line Out,LINE-1-7-5,CI_6500_TSHELF,CI_6500_TSHELF,,,BFLONYFR-01TESTA,LNCSNYLC-01TEST11A
28504,I1001/OM96/BLTMMDWL/BLTPMDHM,DWDM96,1,IN EFFECT,DWDM_INFRASTRUCTURE,BLTMMDWL,BLTPMDHM,DWDM96,96,6,0.5,BLTMMDWL-0331701A,Ciena 6500 T-12P SHELF,CIENA,5 Line Out,LINE-1-8-5,BLTPMDHM-0110109A,Ciena 6500 T-12P SHELF,CIENA,8 Line In,LINE-1-7-8,Ciena 6500 T-12P SHELF,Ciena 6500 T-12P SHELF,Ciena_FSA3_4_5,Cisco_FSA1_6_7_9,BLTMMDWL-0331701A,BLTPMDHM-0110109A
34725,I1001/OM96/CTTQMICX/CTTQMICZ,DWDM96,1,IN EFFECT,DWDM_INFRASTRUCTURE,CTTQMICX,CTTQMICZ,DWDM96,96,3,5.21,CTTQMICX-0110101A,Ciena 6500 T-12P SHELF,CIENA,5 Line Out,LINE-1-8-5,CTTQMICZ-010VZB01A,Ciena 6500 T-12P SHELF,CIENA,8 Line In,LINE-1-5-8,Ciena 6500 T-12P SHELF,Ciena 6500 T-12P SHELF,,,CTTQMICX-0110101A,CTTQMICZ-010VZB01A
34728,I1001/OM96/TAYLMIDK/TAYLMIEE,DWDM96,1,IN EFFECT,DWDM_INFRASTRUCTURE,TAYLMIDK,TAYLMIEE,DWDM96,96,0,4.4,TAYLMIDK-01701A,Ciena 6500 T-12P SHELF,CIENA,8 Line In,LINE-1-7-8,TAYLMIEE-01701A,Ciena 6500 T-12P SHELF,CIENA,5 Line Out,LINE-1-6-5,Ciena 6500 T-12P SHELF,Ciena 6500 T-12P SHELF,,,TAYLMIDK-01701A,TAYLMIEE-01701A
31914,I1001/OM96/OLBRMS13/SOHNMSDO,DWDM96,1,IN EFFECT,DWDM_INFRASTRUCTURE,OLBRMS13,SOHNMSDO,DWDM96,96,4,11.99,OLBRMS13-01VZB01A,CIENA_T6500,CIENA,5 Line Out,LINE-1-6-5,SOHNMSDO-01VZB01A,Ciena 6500 T-12P SHELF,CIENA,8 Line In,LINE-1-7-8,Ciena 6500 T-12 SHELF,Ciena 6500 T-12P SHELF,,,OLBRMS13-01VZB01A,SOHNMSDO-01VZB01A
941,I1100/OM96/BFLONYEL/BFLONYFR,DWDM96,1,IN EFFECT,DWDM_INFRASTRUCTURE,BFLONYEL,BFLONYFR,DWDM96,96,11,2,BFLONYEL-0112909A,CIENA_T6500,CIENA,5 Line Out,LINE-1-7-5,BFLONYFR-0771904A,CIENA_T6500,CIENA,08 LINE IN,LINE-1-6-8,CI_6500_TSHELF,CI_6500_TSHELF,Ciena_FSA2_8,Ciena_FSA2_8,BFLONYEL-0112909A,BFLONYFR-0771904A
31928,I1001/OM96/ALTPILAP/GRTPILAG,DWDM96,1,IN EFFECT,DWDM_INFRASTRUCTURE,ALTPILAP,GRTPILAG,DWDM96,96,7,5.7,ALTPILAP-0110101A,CIENA_T6500,CIENA,5 Line Out,LINE-1-6-5,GRTPILAG-0110101A,CIENA_T6500,CIENA,8 Line In,LINE-1-7-8,Ciena 6500 T-12 SHELF,Ciena 6500 T-12 SHELF,,,ALTPILAP-0110101A,GRTPILAG-0110101A
31686,I1001/OM96/MEXCNYMX/SCHRNYQH,DWDM96,1,IN EFFECT,DWDM_INFRASTRUCTURE,MEXCNYMX,SCHRNYQH,DWDM96,96,2,34,MEXCNYMX-0110109A,Ciena 6500 T-12P SHELF,CIENA,5 Line Out,LINE-1-7-5,SCHRNYQH-0110009A,Ciena 6500 T-12P SHELF,CIENA,8 Line In,LINE-1-6-8,Ciena 6500 T-12P SHELF,Ciena 6500 T-12P SHELF,Ciena_FSA2_8,Ciena_FSA2_8,MEXCNYMX-0110109A,SCHRNYQH-0110009A
34435,I1001/OM96/BLNDMAGL/OTISMAEO,DWDM96,1,IN EFFECT,DWDM_INFRASTRUCTURE,BLNDMAGL,OTISMAEO,DWDM96,96,7,8.38,BLNDMAGL-0100032A,Ciena 6500 T-12P SHELF,CIENA,5 Line Out,LINE-1-7-5,OTISMAEO-0115007A,Ciena 6500 T-12P SHELF,CIENA,8 Line In,LINE-1-7-8,Ciena 6500 T-12P SHELF,Ciena 6500 T-12P SHELF,Ciena_FSA2_8,Ciena_FSA2_8,BLNDMAGL-0100032A,OTISMAEO-0115007A
28506,I1001/OM96/ARBTMDAR/BLTMMDTU,DWDM96,1,IN EFFECT,DWDM_INFRASTRUCTURE,ARBTMDAR,BLTMMDTU,DWDM96,96,11,2,ARBTMDAR-0110400A,Ciena 6500 T-12P SHELF,CIENA,5 Line Out,LINE-1-8-5,BLTMMDTU-0222731A,Ciena 6500 T-12P SHELF,CIENA,8 Line In,LINE-1-6-8,Ciena 6500 T-12P SHELF,Ciena 6500 T-12P SHELF,Ciena_FSA3_4_5,Ciena_FSA3_4_5,ARBTMDAR-0110400A,BLTMMDTU-0222731A
31915,I1001/OM96/CRVLTN08/OLBRMS13,DWDM96,1,IN EFFECT,DWDM_INFRASTRUCTURE,CRVLTN08,OLBRMS13,DWDM96,96,4,7.27,CRVLTN08-0110101A,CIENA_T6500,CIENA,5 Line Out,LINE-1-7-5,OLBRMS13-01VZB01A,CIENA_T6500,CIENA,8 Line In,LINE-1-7-8,Ciena 6500 T-12 SHELF,Ciena 6500 T-12 SHELF,,,CRVLTN08-0110101A,OLBRMS13-01VZB01A
28521,I1002/OM96/LTRKARKO/LTRKARWT,DWDM96,1,IN EFFECT,DWDM_INFRASTRUCTURE,LTRKARKO,LTRKARWT,DWDM96,96,3,5.07,LTRKARKO-0110101A,Ciena 6500 T-12P SHELF,CIENA,5 Line Out,LINE-1-6-5,LTRKARWT-0115002A,Ciena 6500 T-12P SHELF,CIENA,8 Line In,LINE-1-7-8,Ciena 6500 T-12P SHELF,Ciena 6500 T-12P SHELF,,Ciena_SOCENT,LTRKARKO-0110101A,LTRKARWT-0115002A
28526,I1002/OM96/LTRKARKO/LTROARTB,DWDM96,1,IN EFFECT,DWDM_INFRASTRUCTURE,LTRKARKO,LTROARTB,DWDM96,96,2,7.57,LTRKARKO-0110101A,Ciena 6500 T-12P SHELF,CIENA,5 Line Out,LINE-1-7-5,LTROARTB-0110122A,Ciena 6500 T-12P SHELF,CIENA,8 Line In,LINE-1-7-8,Ciena 6500 T-12P SHELF,Ciena 6500 T-12P SHELF,,,LTRKARKO-0110101A,LTROARTB-0110122A
28527,I1002/OM96/LTRKARWT/LTROARTB,DWDM96,1,IN EFFECT,DWDM_INFRASTRUCTURE,LTRKARWT,LTROARTB,DWDM96,96,1,6.72,LTRKARWT-0115002A,Ciena 6500 T-12P SHELF,CIENA,5 Line Out,LINE-1-6-5,LTROARTB-0110122A,Ciena 6500 T-12P SHELF,CIENA,8 Line In,LINE-1-6-8,Ciena 6500 T-12P SHELF,Ciena 6500 T-12P SHELF,Ciena_SOCENT,,LTRKARWT-0115002A,LTROARTB-0110122A
